Course ID,Subject,Catalog,Rq Group,Description_Short,Descripiton_Long
61808,BIO,102,12379,PQ M4 Flag Only,Pre Requisite: Math 20 or an appropriate math placement.
61809,BIO,105,15027,PQ BIO 106&107 or 170&171,Prerequisite: BIO 106 and BIO 107 or BIO 170 and BIO 171 with a minimum grade of C or a satisfactory score on the Biology Placement Test.
61810,BIO,106,12382,CQ BIO 107; M4 Flag,Prerequisite: Math 20 or an appropriate Math placement. Corequisite: BIO 107.
61811,BIO,107,12383,CQ BIO 106; M4 Flag,Pre-Requisite:  Appropriate math placement.  Co-requisite BIO 106.
61812,BIO,108,22013,PQ BIO 106/107 & CQ BIO 109,Prerequisite: BIO 106/07 & Corequisite: BIO 109
61813,BIO,109,22014,CQ BIO 108 & M4,Corequisite: BIO 108 & M4
61814,BIO,110,22015,CQ BIO 102 and BIO 111,Corequisite: BIO 102 and BIO 111
61815,BIO,111,22016,PQ BIO 102 & CQ BIO 110,Prerequisite: BIO 102 & Corequisite: BIO 110
61819,BIO,146,22017,PQ BIO102 or BIO170/171 or BIO106/107 or BIO 150,Prerequisite: BIO102 or BIO170/1 or BIO106/7 or BIO 150
61820,BIO,150,15034,PQ BIO 106&107 or 170 &171,Prerequisites: BIO 106 and BIO 107 or BIO 170 and BIO 171 with a minimum grade of C or a satisfactory score on the Biology Placement Test.
61821,BIO,160,25602,PQ BIO 150 C+,PQ BIO 150 with a grade of C or higher.
61822,BIO,170,12398,CQ BIO 171; C6 Flag,"Pre or corequisite:ENG 111, MTH 123 or Appropriate mathematics placement. Corequisite: BIO 171"
61823,BIO,171,12399,CQ BIO 170; C6 Flag,CQ BIO 170; C6 Flag
61824,BIO,180,12415,CQ BIO181 PQ BIO170/171 MTH123 ENG+,"Co Requisite: Bio 181
Pre Requisite: Bio 170/171, Mth 123 or appropriate math placement and Eng 111"
61825,BIO,181,12508,PQ BIO170&171 CQ BIO 180 MTH123,"Prerequisites: BIO 170 and BIO 171 with minimum grade of C in both, ENG 111, MTH 123 or Appropriate math placement,  Corequisite: BIO 180."
61832,BIO,205,12413,PQ BIO 180 / BIO181 or BIO 160 and CHM 121 / CHM 141,Pre Requisite: BIO 180/181 or BIO 160 and CHM 121/141
61838,BIO,212,22111,PQ BIO 170 and Res 51,Pre-requisite: BIO 170 and Passing CUNY Reading Assessment Test
61840,BIO,214,22113,PQ BIO 180 BIO 181 BIO 160 & Res 51,"Pre-requisite: BIO 180/181, BIO 160 and Passing the CUNY Reading Assessment Test"
